,title,url,thumbnail,time
42,【FF14/Gaia/蒼天】蒼天編を進めて行きます！＃ １７  【よなが/#新人Vtuber】,https://youtube.com/watch?v=mk-AyjOIAr4,https://i.ytimg.com/vi/mk-AyjOIAr4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCL8VYH1XYwE_Wu81wt01Bh4lwBAA,2:13:16
43,【FF14/Gaia/蒼天】今日から蒼天編！＃ １６  【よなが/#新人Vtuber】,https://youtube.com/watch?v=pUtfpOJkUAU,https://i.ytimg.com/vi/pUtfpOJkUAU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWnwTcdex3XHmTaNpZCu4g-VD6Yg,8:48:56
44,【♯6】Hollow Knight 【よなが/#新人Vtuber】,https://youtube.com/watch?v=5OMtAp6pILI,https://i.ytimg.com/vi/5OMtAp6pILI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAe2ZLuM7N5ybrnLLZ4zeZybyC1-w,2:48:20
45,【FF14/Gaia/新生】大迷宮バハムート！ with 伊鞠七ツ海【よなが/#新人Vtuber】,https://youtube.com/watch?v=bYN_Z6xSIOA,https://i.ytimg.com/vi/bYN_Z6xSIOA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9w_IoW5pAbs_8T1etsQ1hJRyvWQ,4:24:12
46,【♯5】Hollow Knight 【よなが/#新人Vtuber】,https://youtube.com/watch?v=AzKBmgAckbw,https://i.ytimg.com/vi/AzKBmgAckbw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAW9wPX9uD6-Iiuq_IDeKDcCvO3Ww,2:23:23
47,【MINDHACK】悪人の頭の中をお花畑に！【よなが/#新人Vtuber】,https://youtube.com/watch?v=OZvlTBxmESA,https://i.ytimg.com/vi/OZvlTBxmESA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCZrg-daO3TQuNAvjzlUIuUKXHxRA,1:04:02
48,【スプラ3/水陣営！】いっちょやりますか【よなが/#新人Vtuber】,https://youtube.com/watch?v=FTGikmC2Ljw,https://i.ytimg.com/vi/FTGikmC2Ljw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCzy09_PP3zmUKQcPFth9wnUFl-gQ,2:37:08
49,【♯4】Hollow Knight 【よなが/#新人Vtuber】,https://youtube.com/watch?v=drUoeR6INkg,https://i.ytimg.com/vi/drUoeR6INkg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD2HrdhmhgUxX6m1WbpDN7qfw_78Q,5:52:56
50,【ホラー/MaidofSker】音を出したら終わり -後編-【よなが/#新人Vtuber】,https://youtube.com/watch?v=c-lfZnrOyGE,https://i.ytimg.com/vi/c-lfZnrOyGE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDWgZtaG64kM42cvomXXGdWME0i7A,2:24:03
51,【雑談？ショッピング】おい！アマゾンでプレゼント探すぞ！【よなが/#新人Vtuber】,https://youtube.com/watch?v=Aew2Y6GrG9s,https://i.ytimg.com/vi/Aew2Y6GrG9s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTzXsg6t18O0pBl7IjMXQkH0jvfA,1:27:35
52,【FF14/Gaia/新生】＃ １５  新生のその先へ！【よなが/#新人Vtuber】,https://youtube.com/watch?v=uWDK3dmx43Y,https://i.ytimg.com/vi/uWDK3dmx43Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCApNt2VGAm_62CfaZui1y48Wf2PQ,6:46:18
53,【ホラー/MaidofSker】音を出したら終わり -前編-【よなが/#新人Vtuber】,https://youtube.com/watch?v=VhCX44oq3do,https://i.ytimg.com/vi/VhCX44oq3do/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBZJT52rCkWdSWeLG6RZYcCQJk7tg,3:37:18
54,【雑談 / FREE CHAT】harowi-n【よなが/#新人Vtuber】,https://youtube.com/watch?v=ywndPK5chXY,https://i.ytimg.com/vi/ywndPK5chXY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDfuT_3lQepC9M8H0j7aAgI7dBEXA,2:10:36
55,【FF14/Gaia/新生】＃ １４  眠くならないように声をだしながら！【よなが/#新人Vtuber】,https://youtube.com/watch?v=RUo1pV_URmI,https://i.ytimg.com/vi/RUo1pV_URmI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDxcAQQtcCrGfAKphQY4tUMLv1s7w,5:37:27
56,【FF14/Gaia/新生】＃ １３  そろそろ新生もおしまい？【よなが/#新人Vtuber】,https://youtube.com/watch?v=X4m6WLac_Ls,https://i.ytimg.com/vi/X4m6WLac_Ls/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDoJN8C57oKrc0KFfWcD5nOmTZo3g,2:25:57
57,もう10月も終わっちゃいますね。/読書/作業/勉強【よなが/#新人Vtuber】,https://youtube.com/watch?v=OCxhO542QC0,https://i.ytimg.com/vi/OCxhO542QC0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAYLxnRTJfzkNHfAdtxyWtV8jdktA,1:05:34
58,【FF14/Gaia/新生】クリスタルタワー攻略！ w/伊鞠七ツ海【よなが/#新人Vtuber】,https://youtube.com/watch?v=pJztLvGvzeg,https://i.ytimg.com/vi/pJztLvGvzeg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCZucSR64KRuL9IOV7vjLXl03HsHA,5:07:32
59,一緒に本を読みましょう。/読書/作業/勉強【よなが/#新人Vtuber】,https://youtube.com/watch?v=zmP1HBFt7OI,https://i.ytimg.com/vi/zmP1HBFt7OI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDndq6cMM2QqH-pDS3EOivH3Y13tQ,2:06:46
